id,analyte,loinc,unit,population,sex,age_min,age_max,measure_type,sa_value,general_value,direction_of_risk,provenance_tier,evidence_grade,source_labels,source_urls,source_refs,source_kinds,sources_in_registry,overclaim_guard,notes
bmi-overweight-category,BMI,PRAJNA-BMI,kg/m2,south_asian,any,18,,reference_range,overweight_at=23; obese_at=25,overweight_at=25; obese_at=30,high,guideline-endorsed,,WHO Expert Consultation — appropriate BMI for Asian populations (Lancet 2004),https://doi.org/10.1016/S0140-6736(03)15268-3,DOI:10.1016/S0140-6736(03)15268-3; PMID:14726171,guideline,true,"Lower cutoffs reflect earlier metabolic risk, not a different disease; do not restate as 'South Asians are unhealthy at normal weight'.","Encoded in loinc.yaml as PRAJNA-BMI ref_high 23. Source in evidence registry as who-asian-bmi-2004 (grade A, approved)."
bmi-diabetes-screening-threshold,BMI (diabetes screening trigger),PRAJNA-BMI,kg/m2,south_asian,any,30,,screening_threshold,comparator=>=; value=23,comparator=>=; value=25,high,guideline-endorsed,A,"Diagnosis and Classification of Diabetes: Standards of Care in Diabetes—2024 | Optimum BMI cut points to screen Asian Americans for type 2 diabetes (Araneta/Kanaya, Diabetes Care 2015)",https://doi.org/10.2337/dc24-S002 | https://pubmed.ncbi.nlm.nih.gov/25665815/,DOI:10.2337/dc24-S002 | PMID:25665815,guideline | primaryStudy,true | true,"A screening trigger is not a diagnosis; a positive trigger means 'test glucose', not 'has diabetes'.","SouthAsianScreeningPack.diabetesScreenBMI23 (v2024.2), fires from age 30."
diabetes-screening-age,Diabetes screening start age,1558-6,year,south_asian,any,30,,screening_age,comparator=>=; value=30,comparator=>=; value=35,n/a,guideline-endorsed,A,"ADA Standards of Care 2024 | Araneta/Kanaya, Diabetes Care 2015",https://doi.org/10.2337/dc24-S002 | https://pubmed.ncbi.nlm.nih.gov/25665815/,DOI:10.2337/dc24-S002 | PMID:25665815,guideline | primaryStudy,true | true,,South Asians develop dysglycaemia ~a decade earlier; screen earlier.
waist-central-obesity-male,Waist circumference (central obesity),56115-9,cm,south_asian,male,18,,screening_threshold,comparator=>=; value=90,comparator=>=; value=102,high,guideline-endorsed,,IDF consensus worldwide definition of the metabolic syndrome — ethnic-specific waist cutoffs,https://www.idf.org/e-library/consensus-statements/60-idfconsensus-worldwide-definitionof-the-metabolic-syndrome.html,,consensus,true,,loinc.yaml 56115-9 ref_high 90 encodes the male SA cut.
waist-central-obesity-female,Waist circumference (central obesity),56115-9,cm,south_asian,female,18,,screening_threshold,comparator=>=; value=80,comparator=>=; value=88,high,guideline-endorsed,,IDF consensus worldwide definition of the metabolic syndrome,https://www.idf.org/e-library/consensus-statements/60-idfconsensus-worldwide-definitionof-the-metabolic-syndrome.html,,consensus,true,,SouthAsianScreeningPack.isCentralObesity female cut = 80 cm.
waist-to-height-ratio,Waist-to-height ratio,,ratio,south_asian,any,18,,screening_threshold,comparator=>=; value=0.5,comparator=>=; value=0.5,high,study-derived,,"Comparison of obesity indices for CVD risk classification in South Asian adults — The CARRS Study (Patel et al., PLoS One 2017)",https://doi.org/10.1371/journal.pone.0174251,DOI:10.1371/journal.pone.0174251; PMID:28448582,primaryStudy,true,"WtHR >=0.5 is a general adiposity rule; the South-Asian-specific claim is that it outperforms BMI here, not a distinct cutoff.",Used in SouthAsianScreeningPack.isCentralObesity as a fallback when waist+height on file. Source in evidence registry as carrs-patel-2017 (review_status: proposed — awaiting clinician sign-off).
hdl-low-female,HDL-C (low threshold),2085-9,mg/dL,south_asian,female,18,,risk_flag,comparator=<; value=50,comparator=<; value=40,low,guideline-endorsed,,IDF metabolic syndrome consensus (2006) | Prevention of ASCVD in South Asians — NLA clinical perspective (2021),https://www.idf.org/e-library/consensus-statements/60-idfconsensus-worldwide-definitionof-the-metabolic-syndrome.html | https://doi.org/10.1016/j.jacl.2021.03.007, | DOI:10.1016/j.jacl.2021.03.007,consensus | consensus,true | true,,IDF sex-specific low-HDL cut; women flagged at <50.
hdl-low-male,HDL-C (low threshold),2085-9,mg/dL,south_asian,male,18,,risk_flag,comparator=<; value=40,comparator=<; value=40,low,guideline-endorsed,,IDF metabolic syndrome consensus (2006),https://www.idf.org/e-library/consensus-statements/60-idfconsensus-worldwide-definitionof-the-metabolic-syndrome.html,,consensus,true,"Male cut equals the general threshold; the SA-specific piece is the female cut and the pattern's weight, not this value.",Included for completeness so the male/female contrast is explicit.
atherogenic-dyslipidemia-pattern,Atherogenic dyslipidemia (TG-high + HDL-low),2571-8,composite,south_asian,any,18,,risk_flag,triglycerides_mg_dl=>=150; with_low_hdl=True,,high,study-derived,,"AHA Scientific Statement — ASCVD in South Asians (Volgman 2018) | Lipid Association of India SA lipid targets (Enas 2013) | Risk factors for early MI in South Asians (INTERHEART, JAMA 2007)",https://doi.org/10.1161/CIR.0000000000000580 | https://pmc.ncbi.nlm.nih.gov/articles/PMC3868060/ | https://doi.org/10.1001/jama.297.3.286,DOI:10.1161/CIR.0000000000000580 | PMCID:PMC3868060 | DOI:10.1001/jama.297.3.286,guideline | consensus | primaryStudy,true | true | true,A normal LDL-C does not rule out risk when TG is high and HDL low; do not present LDL-C as the sole lipid target for SA users.,"The SA-characteristic pattern (small-dense LDL, high ApoB/ApoA-I) that drives risk at normal LDL-C. Component values match general thresholds; the differentiation is the emphasis."
apob-preferred-marker,ApoB (preferred atherogenic marker),1884-6,mg/dL,south_asian,any,18,,reference_range,low=60; high=90,low=60; high=90,high,study-derived,,NLA — Prevention of ASCVD in South Asians (2021) | AHA Volgman 2018,https://doi.org/10.1016/j.jacl.2021.03.007 | https://doi.org/10.1161/CIR.0000000000000580,DOI:10.1016/j.jacl.2021.03.007 | DOI:10.1161/CIR.0000000000000580,consensus | guideline,true | true,"The range is not SA-specific; the SA-specific claim is preference of ApoB over LDL-C, not a different cutoff.",SouthAsianScreeningPack.apobPreferred nudges ApoB when a lipid panel exists but ApoB doesn't.
lpa-elevated-and-test-once,Lp(a),10835-7,mg/dL,south_asian,any,18,,risk_flag,elevated_at=50; test_frequency=once_in_adulthood,elevated_at=50; test_frequency=once_in_adulthood,high,guideline-endorsed,A,NLA 2024 Lp(a) focused update / AHA 2024 Lp(a) toolkit | 2018 AHA/ACC/Multi-Society Blood Cholesterol Guideline,https://professional.heart.org/en/-/media/PHD-Files/Education/AHA2024_Lpa_Toolkit_Healthcare_Professionals.pdf | https://doi.org/10.1161/CIR.0000000000000625, | DOI:10.1161/CIR.0000000000000625,guideline | guideline,true | true,"Do NOT claim South Asians universally run high Lp(a): MASALA (Huffman 2019) found no Lp(a)-atherosclerosis signal within the cohort. The rationale is 'genetically fixed + test-once is cheap', plus higher elevated-prevalence, not a proven SA outcome association.","The 'test once' guidance is guideline-endorsed and not SA-specific; it appears here because it is under-done in this population. loinc.yaml Lp(a) mass ref_high 30 mg/dL, molar 43583-7 ref_high 75 nmol/L."
non-hdl-aggressive-target,Non-HDL-C (treatment target),PRAJNA-NONHDL,mg/dL,south_asian,any,18,,reference_range,high=130; note=LAI recommends more aggressive non-HDL targets by risk stratum,high=130,high,study-derived,,Lipid Association of India SA lipid targets (Enas 2013),https://pmc.ncbi.nlm.nih.gov/articles/PMC3868060/,PMCID:PMC3868060,consensus,true,LAI targets are risk-stratified; do not present a single non-HDL cutoff as applying to all SA users.,Default non-HDL ref_high 130 from loinc.yaml; SA-specific aggressiveness is stratum-dependent — represented qualitatively pending clinician review.
hba1c-under-read-caveat,HbA1c (interpretation caveat),4548-4,%,south_asian,any,18,,interpretation_caveat,confirm_when=5.7-6.4; confirm_with=fasting glucose or OGTT,reference_range_low=4.0; reference_range_high=5.6,high,study-derived,,Isolated HbA1c identifies a different T2D subgroup vs glucose in Asian Indians — CARRS & MASALA (Gujral 2019) | ADA Standards of Care 2024,https://pubmed.ncbi.nlm.nih.gov/31150721/ | https://doi.org/10.2337/dc24-S002,PMID:31150721 | DOI:10.2337/dc24-S002,primaryStudy | guideline,true | true,"HbA1c is not universally 'wrong' in SA users; the claim is that it can under- or over-read (iron deficiency, glycation rate), so borderline values warrant glucose confirmation.",The reference range is not changed; this is an interpretation flag on borderline values.
cac-baseline-age,Coronary artery calcium — baseline discussion age,PRAJNA-CAC,year,south_asian,any,35,,screening_age,comparator=>=; value=35,comparator=>=; value=40,n/a,guideline-endorsed,,AHA Scientific Statement — ASCVD in South Asians (Volgman 2018),https://doi.org/10.1161/CIR.0000000000000580,DOI:10.1161/CIR.0000000000000580,guideline,true,,"SA develop CAD ~10 years earlier; earlier baseline CAC discussion. In-app, CAC nudges tie to PREVENT 5-<20% band."
vitamin-d-screening-emphasis,25-OH Vitamin D (screening emphasis),1989-3,ng/mL,south_asian,any,18,,reference_range,low=30; high=100,low=30; high=100,low,study-derived,,"Endocrine Society — Evaluation, Treatment, and Prevention of Vitamin D Deficiency (2011)",https://doi.org/10.1210/jc.2011-0385,DOI:10.1210/jc.2011-0385,guideline,true,"The reference range is not SA-specific; the SA-relevant point is high deficiency prevalence, warranting screening — not a different normal range.",SouthAsianScreeningPack.vitaminDScreen prompts if not measured within a year.
fasting-insulin-optional-marker,Fasting insulin (optional early marker),1554-5,uIU/mL,south_asian,any,30,,reference_range,low=2; high=15,low=2; high=15,high,study-derived,B,MASALA cardiometabolic profile / HOMA-IR vs MESA (Kanaya 2014),https://masalastudy.org/publications/,,primaryStudy,true,"Explicitly NOT guideline-backed; present as an optional/exploratory marker, never as recommended screening.",In-app copy flags this as not guideline-backed. Good example of an honest study-derived row.
egfr-race-adjustment-deprecated,eGFR (race/ancestry adjustment),33914-3,mL/min/1.73m2,general,any,18,,deprecated_adjustment,adjust=False; guidance=do NOT apply a race/ancestry coefficient,low=60; high=120,low,contested-deprecated,,"New Creatinine- and Cystatin C–Based Equations without Race (CKD-EPI 2021, Inker et al., NEJM)",https://doi.org/10.1056/NEJMoa2102953,DOI:10.1056/NEJMoa2102953; PMID:34554658,primaryStudy,true,Do NOT ship an ancestry-adjusted eGFR. The 2021 refit removed the race term as a social-not-biological construct that delayed care. This row exists to instruct consumers to NOT stratify eGFR by ancestry.,"The credibility showcase row: an adjustment the field is moving away from, included precisely to warn against it. Consistent with loinc.yaml keeping eGFR at real LOINC 33914-3 with no ancestry term."
prevent-risk-underestimate-caveat,10-year ASCVD risk (PREVENT),PRAJNA-PREVENT,%,south_asian,any,30,,interpretation_caveat,adjustment=none available; guidance=treat estimate as a floor; it underestimates SA risk,low=0; high=5,high,study-derived,,Development and Validation of the AHA PREVENT Equations (Circulation 2024),https://doi.org/10.1161/CIRCULATIONAHA.123.067626,DOI:10.1161/CIRCULATIONAHA.123.067626,guideline,true,"There is no validated SA multiplier in PREVENT; do not invent one. State the limitation ('treat as a floor'), do not apply a made-up adjustment.",Contrast with the eGFR row: here we flag under-estimation but still refuse to fabricate an adjustment. loinc.yaml PRAJNA-PREVENT plain_language already says 'treat it as a floor'.
